trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-102.55276542334894,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-89.14483732311884,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-89.79545457446967,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-116.6033880512574,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-99.00869904489832,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-65.70736400813439,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-249.6328007922732,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-192.6112404779948,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-156.92309095599543,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,8,-147.67367654681746,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 2}",1
11,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-111.04462020271176,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,15,-121.56470015312108,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 3}",1
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,15,9.163723598204466,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-131.9727020040254,"{0: 14, 1: 9, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-47.55012045309683,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-89.11908451448274,"{0: 21, 1: 0, 2: 7, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-113.09745844099987,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-177.6962999375484,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-45.04236013971074,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-74.72423101186081,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-150.31409822657008,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-125.93768097712046,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-69.70724937504541,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-152.3323022741777,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9713379748520297}",30,0,-53.927359140874046,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-200.94458578106946,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-113.3987240039573,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-120.92071627130206,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-62.60763170029605,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-67.81050260816444,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-212.78722248153048,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
32,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,8,-27.977833164748944,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-59.525115875669215,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-123.46128329236087,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-121.89027866521634,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,3,-94.40150928175511,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-22.840980343950257,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-133.09017801202205,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-67.89016833644462,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-90.03124938863299,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-52.80883805413923,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-134.88622368994635,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-98.7290985996815,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-72.25430273472419,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
