trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.70064217410047,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.67233323132135,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.51834584447089,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.7789591710715,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,17,-13.207053943658703,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.5638967695453,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,14,-54.62737648033382,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,1,-185.01175869905268,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 4}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.20966166092063,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.01655523814652,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.48310119274089,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-235.8086639399282,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,13,-28.725696927267613,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.2777700244894,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.31862528981769,"{0: 10, 1: 8, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.53334503581613,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,7,-111.05537769590977,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.9577526957871,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.27297623563169,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.34846840624392,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.10697692483765,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.43170642489311,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.26880224123136,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.904716098389514,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.0476209900123,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.142688194029994,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-207.1948981247129,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.81270067722377,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.47677911197377,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.14215146772227,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
